marital_status,living_area_sqm,children_count,monthly_income,income_source,total_expenses,dti_ratio,avg_monthly_turnover,has_credit_card,num_credit_contracts,num_closed_loans,total_overdue_days,max_overdue_days,num_past_delinquencies,has_bankruptcy,avg_transaction_amount,num_transactions_monthly,premium_category,uses_mobile_banking,uses_investment_products,has_autopayment,employment_type,employer_industry,position_level,work_experience_total_years,has_business,business_profit,owns_car,car_value,owns_real_estate,real_estate_count,owns_land,loan_purpose,requested_amount,approved_amount,loan_rate,monthly_payment,payment_to_income_ratio,collateral_type,has_guarantor,has_higher_education,is_salary_client,is_premium_client,client_segment,tenure_months,Risk_Cluster
divorced,54,3,20000,salary,12965,0.37,45814,1,0,0,1,0,1,0,5287,5,goods,1,0,0,self_employed,education,manager,9,0,0,1,200000,0,3,0,education,107203,76100,13.5,28888,1.444,car,0,0,0,1,premium,147,0.0
single,66,1,23719,business,9618,0.57,41109,1,1,2,18,12,1,0,1362,11,goods,0,0,1,government,education,specialist,9,0,0,1,1322571,1,0,0,car,164853,125344,28.6,12688,0.535,none,1,1,1,1,mass,198,0.0
married,58,1,64269,salary,44728,0.15,85193,1,3,4,27,5,1,0,252,7,utilities,1,0,1,self_employed,medicine,manager,29,0,0,1,737605,0,0,0,car,78091,61634,31.4,3367,0.052,none,1,1,0,0,private,229,0.0
single,36,0,32768,pension,18436,0.51,28342,0,0,0,1,0,0,0,1854,3,utilities,1,0,0,private,finance,manager,2,0,0,1,1990136,0,0,0,car,390628,375344,29.9,17610,0.537,none,0,0,1,0,mass,101,1.0
married,20,1,32596,self_employed,21679,0.47,26808,1,0,0,4,6,0,0,2808,11,goods,1,0,1,private,finance,specialist,7,0,0,1,858623,1,0,0,refinancing,173296,150072,18.3,5100,0.156,none,1,1,1,0,mass,12,0.0
married,52,0,88955,self_employed,58982,0.61,124601,1,0,0,12,11,1,0,2404,4,travel,1,0,0,government,education,manager,19,0,0,0,0,0,2,0,car,601233,397201,15.5,4544,0.051,none,0,1,1,0,mass_premium,188,1.0
divorced,87,1,52678,salary,46553,0.41,61458,1,0,0,0,0,2,1,4161,3,goods,1,0,0,private,retail,specialist,20,0,0,0,0,1,0,0,emergency,107359,95030,18.2,30955,0.588,none,0,0,0,0,mass,65,2.0
married,96,0,20000,salary,10682,0.54,17791,1,1,1,1,23,0,0,1549,8,utilities,1,0,1,private,retail,specialist,24,0,0,0,0,1,1,0,car,132233,97566,28.5,14925,0.746,none,1,1,0,0,mass_premium,205,0.0
married,94,0,20000,salary,13704,0.36,34796,1,2,1,0,3,0,0,4695,2,travel,1,1,1,individual_entrepreneur,education,specialist,18,0,0,0,0,1,0,0,education,589495,536926,24.4,7241,0.362,guarantor,0,0,0,0,mass_premium,163,1.0
married,44,0,147294,salary,87017,0.69,365427,1,4,3,0,2,0,0,1779,17,goods,1,0,1,individual_entrepreneur,construction,specialist,0,1,230124,1,1342212,1,0,0,repair,341018,281642,19.2,17236,0.117,real_estate,1,0,1,0,private,221,0.0
married,36,0,109490,salary,66898,0.44,166200,1,3,2,12,18,2,0,7705,4,restaurants,1,0,1,self_employed,IT,manager,0,0,0,0,0,1,1,1,emergency,786424,674048,17.0,13131,0.12,none,0,0,0,0,mass,135,1.0
married,77,1,54192,pension,23182,0.55,94217,1,1,1,10,5,0,0,355,4,utilities,1,1,1,private,manufacturing,manager,21,1,534060,1,1813034,1,0,0,education,80500,79191,16.2,40779,0.752,none,0,1,1,0,mass,220,0.0
single,80,0,73075,salary,54384,0.16,85765,0,1,1,9,19,0,0,828,9,travel,1,0,1,private,construction,manager,31,0,0,1,2263661,1,2,0,refinancing,74162,49692,14.2,16730,0.229,none,0,1,1,0,mass,21,0.0
married,75,1,52901,self_employed,26325,0.38,60749,1,2,1,53,3,1,0,4246,5,goods,0,0,1,private,IT,manager,14,0,0,1,1334575,1,0,1,refinancing,140902,124442,19.3,9144,0.173,car,0,1,0,0,mass_premium,39,0.0
divorced,20,0,87865,salary,55727,0.14,119341,1,0,3,12,8,1,0,7668,5,goods,0,0,0,individual_entrepreneur,medicine,specialist,16,0,0,1,1540934,1,0,0,emergency,189219,166510,28.7,5553,0.063,none,0,0,0,0,mass_premium,225,0.0
single,43,0,40102,salary,24748,0.17,89009,0,1,0,45,37,1,0,3053,10,goods,1,1,0,private,IT,specialist,10,0,0,1,2497262,1,1,0,repair,221370,215344,26.3,3171,0.079,none,0,1,1,0,mass_premium,6,0.0
married,64,0,50988,salary,32329,0.4,124052,0,1,4,13,4,0,0,6848,3,travel,0,0,1,individual_entrepreneur,IT,manager,9,0,0,1,2339826,1,0,0,car,149083,108666,16.2,34086,0.669,none,0,0,0,0,mass,194,0.0
married,77,2,85939,salary,50512,0.31,176822,0,0,1,15,6,0,0,1927,3,travel,1,0,1,self_employed,education,manager,10,0,0,1,1702818,0,0,0,car,279865,182158,21.9,3231,0.038,none,0,1,0,0,private,181,0.0
married,84,0,120885,business,63004,0.38,100932,1,0,5,1,16,1,0,4724,8,travel,1,0,0,private,retail,specialist,1,0,0,1,2265986,0,0,1,refinancing,432201,343873,20.9,11146,0.092,none,0,1,0,0,mass,216,1.0
single,68,1,95949,pension,59906,0.4,148270,1,0,1,8,10,1,0,1799,9,travel,1,0,1,private,construction,specialist,14,0,0,1,736274,1,1,0,repair,148137,107267,24.1,11038,0.115,none,0,1,1,0,mass,171,0.0
married,73,0,113186,salary,47890,0.2,171498,1,1,2,27,15,0,1,5280,3,goods,1,0,0,government,retail,manager,12,0,0,1,1378938,1,2,0,repair,234618,220121,31.1,18736,0.166,none,0,0,0,0,mass_premium,97,2.0
single,67,0,59065,business,30782,0.32,141155,1,0,1,28,4,1,0,7514,11,utilities,1,0,1,government,IT,manager,8,0,0,0,0,0,1,0,car,224399,210605,19.1,18263,0.309,none,0,0,0,0,mass,196,0.0
married,82,2,48194,salary,38190,0.62,99639,0,2,4,26,5,0,0,4643,4,goods,1,0,1,individual_entrepreneur,education,specialist,12,0,0,0,0,1,0,0,repair,337338,261838,20.4,17836,0.37,real_estate,1,0,0,0,mass,139,0.0
single,72,1,20000,salary,16428,0.61,40289,0,2,4,14,0,1,0,1605,4,goods,1,0,0,self_employed,education,specialist,15,0,0,1,621693,1,2,0,car,141514,96047,17.6,10090,0.504,none,1,1,1,0,mass_premium,238,0.0
married,66,0,72526,salary,54949,0.39,127654,1,5,1,9,16,1,0,1868,3,utilities,1,0,0,self_employed,retail,specialist,6,0,0,0,0,1,4,1,repair,463688,297929,24.0,13957,0.192,none,0,1,0,0,mass,57,1.0
married,58,1,83266,business,59641,0.55,158032,1,0,1,18,8,0,0,3148,17,restaurants,1,0,0,private,manufacturing,manager,0,1,86858,1,486719,1,0,0,car,631508,593695,26.8,5739,0.069,real_estate,0,1,1,0,mass,219,1.0
divorced,67,1,59499,salary,47934,0.55,118262,1,2,1,6,8,0,0,3577,23,restaurants,1,0,1,private,manufacturing,specialist,3,0,0,1,690376,1,0,0,car,229981,214334,31.3,8260,0.139,car,0,0,0,0,mass,205,0.0
single,77,1,42815,salary,19862,0.13,74470,1,3,4,5,4,0,0,4862,6,goods,1,0,0,private,IT,specialist,15,1,401026,1,843868,1,1,1,refinancing,360536,258151,23.1,25721,0.601,none,1,1,0,0,mass,37,0.0
married,71,1,113519,salary,75220,0.47,253852,0,0,0,22,22,0,0,6423,4,goods,1,0,1,government,education,specialist,17,0,0,0,0,0,1,1,refinancing,286910,286872,17.9,7877,0.069,none,0,1,1,0,mass,188,0.0
divorced,74,1,92113,pension,42202,0.58,79467,1,0,3,5,12,0,0,3605,2,goods,0,1,0,self_employed,IT,specialist,16,0,0,1,1936073,0,1,0,refinancing,217884,156245,20.3,3809,0.041,car,1,0,0,0,mass,131,0.0
married,98,1,115948,self_employed,91475,0.46,278315,1,2,2,2,0,0,0,7040,8,travel,1,1,1,government,IT,specialist,13,0,0,1,1720077,1,0,0,emergency,282771,231411,18.9,16781,0.145,guarantor,0,0,1,0,mass,90,0.0
divorced,71,0,36624,salary,24182,0.42,77463,0,3,1,55,14,1,0,3478,11,restaurants,1,1,1,government,IT,manager,11,0,0,1,2645458,1,1,0,refinancing,362562,285792,20.2,23747,0.648,real_estate,0,0,0,1,premium,131,0.0
single,48,0,45211,pension,36395,0.42,76824,1,1,4,10,0,0,0,5433,12,travel,0,1,1,individual_entrepreneur,education,specialist,11,0,0,0,0,1,2,0,repair,56516,47359,25.7,6704,0.148,none,0,0,1,0,private,166,0.0
married,87,1,112111,salary,89636,0.4,253657,0,2,3,4,4,0,0,4690,7,utilities,1,0,1,self_employed,medicine,manager,11,0,0,1,1526998,1,1,0,repair,163752,103235,29.2,3000,0.027,real_estate,0,0,1,0,mass,119,0.0
married,30,0,68342,salary,43267,0.57,150869,0,1,1,8,6,0,1,2931,20,utilities,1,0,1,private,construction,specialist,8,0,0,1,1771743,1,3,0,education,523196,363372,17.7,23203,0.34,none,0,1,1,0,mass,51,2.0
married,37,2,50081,salary,32474,0.49,75770,1,2,3,2,10,0,0,2222,12,restaurants,1,0,0,self_employed,manufacturing,top_manager,22,0,0,0,0,1,2,0,education,177018,125444,31.6,18832,0.376,none,0,0,0,0,mass_premium,71,0.0
married,73,1,52516,salary,21748,0.23,116989,0,2,2,5,11,0,0,735,10,travel,1,0,1,private,medicine,specialist,6,0,0,0,0,1,0,0,repair,264773,226655,18.5,19734,0.376,none,0,1,1,0,private,80,0.0
single,77,3,69612,salary,46066,0.36,77977,1,1,2,8,6,0,0,2621,5,goods,1,0,1,self_employed,medicine,manager,0,0,0,1,619182,0,0,1,repair,282941,223519,19.6,3000,0.043,none,1,0,1,0,mass,33,0.0
married,33,1,105103,salary,77642,0.42,167917,0,0,0,3,3,0,0,2364,2,restaurants,1,0,0,government,manufacturing,specialist,12,0,0,0,0,1,0,1,education,525580,391445,26.5,28207,0.268,none,0,1,1,0,private,81,1.0
married,55,0,64382,pension,33274,0.35,76928,1,1,1,17,9,1,0,5741,9,goods,0,0,0,private,IT,specialist,0,0,0,1,2379319,1,0,1,car,96945,73108,21.5,41766,0.649,car,0,1,0,0,mass,180,0.0
single,49,1,97668,salary,87243,0.24,98788,0,2,0,2,11,0,0,8052,6,restaurants,1,0,0,private,manufacturing,specialist,14,0,0,1,1468336,1,0,0,car,239209,150954,26.7,8943,0.092,guarantor,0,0,1,0,mass_premium,165,0.0
widowed,52,1,86358,salary,76635,0.17,200421,1,0,0,30,3,1,0,4467,7,goods,1,0,0,government,education,specialist,13,0,0,1,330574,1,1,0,refinancing,299502,235717,13.7,12935,0.15,none,1,0,0,0,premium,81,0.0
married,88,0,39258,salary,21254,0.17,55895,0,0,0,18,9,1,0,13148,7,restaurants,1,0,1,private,education,specialist,0,1,417242,1,747024,1,0,1,car,377755,299452,26.5,3058,0.078,none,0,0,0,0,mass_premium,188,0.0
married,82,0,39230,self_employed,29676,0.28,77026,0,1,2,11,6,0,0,3761,9,goods,1,0,1,private,medicine,manager,20,1,0,0,0,0,2,0,refinancing,146048,137952,26.7,10344,0.264,none,0,1,1,0,private,80,0.0
married,64,2,54240,pension,22509,0.34,77979,1,4,3,26,0,2,0,2958,12,goods,1,0,0,individual_entrepreneur,construction,specialist,18,0,0,1,228762,1,1,1,repair,345343,330642,31.9,26376,0.486,car,0,1,1,0,mass,60,0.0
married,51,1,23210,salary,17010,0.51,40037,1,1,2,0,18,1,0,5206,6,restaurants,1,0,0,private,retail,specialist,15,0,0,1,223302,1,0,0,refinancing,170408,143466,26.8,4718,0.203,guarantor,0,1,0,0,mass,147,0.0
divorced,31,0,52005,self_employed,37027,0.69,72373,1,0,1,17,24,0,0,4196,3,travel,1,1,0,private,IT,specialist,2,0,0,0,0,0,0,0,car,298303,220795,21.5,5224,0.1,none,0,1,0,0,mass_premium,182,0.0
married,100,1,122970,salary,99738,0.64,253642,1,1,2,3,9,0,0,2588,3,travel,1,0,1,government,education,manager,14,0,0,1,1222179,0,2,1,repair,307268,218724,17.5,19758,0.161,none,0,1,1,1,private,186,0.0
single,79,1,68901,salary,38045,0.59,147240,1,1,0,5,16,1,0,8254,6,goods,1,1,0,private,education,manager,9,1,36442,1,1884107,1,1,0,refinancing,191265,162466,27.8,28046,0.407,none,0,1,0,0,mass,199,0.0
married,47,1,43174,salary,36223,0.59,66138,1,1,1,7,8,0,1,9439,12,utilities,0,0,0,private,retail,specialist,11,0,0,0,0,0,1,0,refinancing,170316,137977,29.6,21452,0.497,none,1,1,1,0,mass_premium,59,2.0
single,82,2,137051,salary,113613,0.46,309919,1,2,2,11,7,0,0,3748,6,travel,1,0,0,private,IT,specialist,4,0,0,1,657572,1,0,0,repair,640803,416377,30.1,17786,0.13,none,0,1,1,1,mass_premium,33,1.0
single,63,4,37428,salary,27502,0.25,52549,0,3,2,21,10,1,0,6424,11,travel,1,0,0,self_employed,medicine,manager,6,0,0,1,1677203,1,2,1,emergency,52192,42244,26.6,5610,0.15,car,0,0,0,0,mass,182,0.0
single,57,0,36334,self_employed,23114,0.38,76162,0,0,0,3,9,0,0,811,8,utilities,1,0,0,private,construction,specialist,10,0,0,1,1315056,1,1,0,refinancing,88522,66274,15.1,37900,1.043,none,0,1,0,0,mass,188,0.0
married,75,0,113031,salary,80161,0.19,215336,0,3,1,12,12,0,0,3667,8,travel,0,0,0,private,retail,specialist,5,0,0,0,0,0,0,0,refinancing,260665,175212,13.6,27358,0.242,none,1,0,0,0,mass,184,0.0
married,46,0,93146,pension,71254,0.44,146720,0,2,0,4,9,0,0,3172,8,utilities,1,0,1,self_employed,construction,specialist,9,1,306320,1,1662004,1,0,0,refinancing,417156,251847,30.5,29415,0.316,car,0,1,0,0,premium,120,0.0
married,56,0,65447,pension,58092,0.11,151258,1,1,0,2,36,0,0,4053,6,utilities,1,0,0,individual_entrepreneur,manufacturing,manager,1,0,0,0,0,1,1,0,refinancing,137302,122459,16.2,8606,0.131,none,0,0,0,0,private,16,0.0
divorced,68,0,99116,salary,45679,0.21,175715,1,2,1,36,9,0,0,487,5,utilities,1,0,1,government,finance,specialist,7,1,336359,0,0,1,0,0,car,151874,91448,28.1,21524,0.217,none,0,1,1,1,mass,209,0.0
divorced,52,0,80521,salary,44812,0.53,179425,1,3,2,9,5,0,0,4615,6,travel,1,0,0,government,construction,specialist,9,1,409882,1,511184,1,2,0,refinancing,103553,73455,21.3,16709,0.208,none,1,0,0,0,mass_premium,169,0.0
single,81,2,28483,salary,22511,0.27,58295,1,0,2,3,0,0,0,3099,7,goods,0,0,1,government,education,specialist,30,0,0,0,0,1,0,0,emergency,399508,335041,25.3,4832,0.17,none,1,0,0,1,mass,93,1.0
single,111,0,20000,salary,12091,0.35,34107,0,3,1,26,14,2,0,10726,7,goods,1,0,1,government,medicine,specialist,2,0,0,1,736921,1,0,0,education,398735,309260,20.3,20933,1.047,real_estate,1,0,1,0,mass,49,1.0
single,46,5,50142,pension,36916,0.6,67938,1,0,2,5,1,2,0,4253,2,goods,1,0,1,government,medicine,specialist,9,0,0,1,1859956,1,0,1,education,524129,334954,18.8,12891,0.257,real_estate,0,1,0,0,mass,160,1.0
married,23,0,107972,salary,50375,0.13,260961,1,0,0,2,8,0,0,2986,5,travel,1,1,1,government,education,specialist,10,0,0,1,1580215,1,1,0,refinancing,294874,260969,12.1,17670,0.164,guarantor,0,0,1,0,private,155,0.0
divorced,20,1,55003,salary,41504,0.11,49308,1,0,1,0,0,0,0,2650,6,restaurants,1,0,0,government,IT,manager,17,0,0,1,3883614,1,1,0,repair,37929,31735,18.0,33767,0.614,real_estate,1,1,0,0,mass,1,0.0
married,61,1,86103,salary,63460,0.24,199812,0,2,3,6,12,0,0,3966,13,travel,0,0,1,private,medicine,specialist,5,1,234738,0,0,1,1,0,repair,548098,498573,25.6,54316,0.631,car,0,1,1,0,mass_premium,190,1.0
married,48,1,76456,self_employed,52977,0.51,126983,1,1,4,28,2,1,0,7229,6,travel,1,0,1,private,medicine,specialist,23,0,0,0,0,1,2,1,car,378465,229396,25.2,16956,0.222,none,0,0,0,0,mass_premium,156,0.0
married,70,1,20000,salary,15652,0.24,41457,1,1,1,8,4,0,0,6336,0,restaurants,0,0,0,private,finance,manager,0,1,184410,0,0,1,0,0,car,289264,229176,16.6,16192,0.81,real_estate,0,1,0,1,mass_premium,217,0.0
married,68,1,55776,business,46854,0.62,76302,1,0,2,2,13,0,1,5205,8,utilities,1,0,1,private,construction,specialist,3,0,0,1,1665360,1,4,0,emergency,571329,522848,18.3,7787,0.14,none,0,0,1,0,mass,68,2.0
married,24,3,82560,salary,67257,0.31,119972,1,3,0,5,9,0,0,5740,5,goods,0,0,0,private,IT,specialist,14,0,0,1,686153,1,0,1,repair,157876,117275,20.9,13032,0.158,car,0,0,1,0,mass_premium,6,0.0
single,20,1,42449,pension,19687,0.27,47724,1,2,0,1,2,0,0,4099,5,goods,1,0,1,private,finance,manager,5,0,0,1,2410102,0,0,0,refinancing,138712,130665,24.0,11154,0.263,real_estate,0,1,1,0,mass,53,0.0
married,72,0,57311,pension,44255,0.24,138828,1,1,3,17,4,0,0,6530,7,travel,1,0,0,private,medicine,specialist,17,1,83648,0,0,1,0,1,car,446461,365398,29.1,27619,0.482,none,0,0,0,0,private,183,1.0
single,68,2,83711,self_employed,52309,0.44,73130,1,1,0,2,5,0,0,1414,10,goods,1,1,1,individual_entrepreneur,finance,specialist,8,0,0,0,0,1,1,1,education,507782,370725,27.7,11870,0.142,real_estate,1,1,0,0,mass,130,1.0
married,54,1,72542,salary,41127,0.61,105738,0,1,0,8,5,1,1,4648,5,restaurants,1,0,0,private,retail,manager,9,0,0,1,838434,1,1,0,car,975751,784046,19.5,12756,0.176,none,0,1,0,1,mass,79,2.0
married,23,0,106641,salary,89559,0.34,145990,0,5,2,0,9,0,0,2119,5,utilities,0,0,0,private,finance,specialist,7,0,0,1,357289,1,4,1,emergency,110022,90575,32.0,13333,0.125,none,0,1,0,0,mass_premium,218,0.0
married,76,1,83428,pension,56714,0.25,182059,0,1,3,15,5,1,0,6287,10,restaurants,1,0,1,private,construction,specialist,12,0,0,1,1498031,1,0,0,repair,252290,211505,25.0,33882,0.406,none,0,1,1,0,mass,76,0.0
married,96,0,36545,self_employed,23776,0.35,60398,0,0,1,5,8,0,0,4216,10,travel,1,0,0,individual_entrepreneur,construction,specialist,13,1,174515,1,1443990,0,1,0,refinancing,269525,193651,25.2,14709,0.402,car,0,1,0,0,mass,142,0.0
single,71,0,53285,salary,42217,0.64,57946,1,0,2,2,2,2,0,4300,6,goods,0,0,1,private,retail,specialist,11,0,0,0,0,0,0,0,refinancing,272428,192843,17.1,7546,0.142,car,0,1,0,0,private,68,0.0
married,43,1,70710,salary,47846,0.3,117754,1,3,0,18,78,1,0,4769,13,travel,1,1,1,private,manufacturing,manager,20,0,0,1,1455949,1,3,1,car,180917,173921,27.7,40642,0.575,none,0,1,0,0,private,3,0.0
single,66,0,116844,salary,96864,0.49,140356,1,0,3,9,14,0,0,5395,9,travel,1,0,0,self_employed,medicine,specialist,9,0,0,1,1255362,1,0,0,refinancing,433433,332264,13.0,16421,0.141,none,0,1,0,0,mass,14,1.0
married,30,0,53426,self_employed,24119,0.3,44295,1,1,1,17,5,2,0,2317,8,travel,0,0,0,private,finance,specialist,4,0,0,1,1410723,1,0,0,refinancing,56227,36978,26.4,10692,0.2,car,0,0,1,0,mass,148,0.0
single,91,0,20000,salary,15761,0.5,34514,0,1,1,8,34,0,0,824,2,restaurants,1,0,0,government,retail,specialist,18,0,0,1,1259386,0,1,1,car,492525,352816,27.1,15459,0.773,car,0,1,1,0,mass,95,1.0
divorced,67,0,85419,self_employed,41164,0.63,120670,1,1,1,2,12,0,0,5806,11,travel,1,0,1,individual_entrepreneur,medicine,specialist,15,0,0,0,0,0,0,0,refinancing,165593,146547,29.0,25691,0.301,car,0,1,1,0,mass_premium,19,0.0
single,20,0,43554,self_employed,22326,0.46,52530,1,3,1,13,6,1,0,1290,2,goods,1,0,1,individual_entrepreneur,medicine,specialist,5,0,0,1,1327290,0,1,0,refinancing,190293,124218,21.9,28147,0.646,guarantor,0,0,0,0,mass,167,0.0
married,57,0,25014,salary,12250,0.67,27335,1,3,2,32,2,0,0,790,12,goods,1,0,1,government,manufacturing,specialist,18,0,0,1,1475073,1,1,0,refinancing,159990,153767,27.1,14007,0.56,none,0,1,0,0,mass,172,0.0
married,76,1,70658,pension,36686,0.46,111023,1,1,1,23,8,0,0,3043,15,restaurants,1,1,1,private,IT,specialist,1,0,0,1,2728889,1,0,1,refinancing,138871,90004,13.9,8715,0.123,car,0,1,1,0,mass_premium,77,0.0
married,56,0,104050,self_employed,79693,0.68,237062,0,1,1,7,4,1,0,9154,10,goods,0,0,1,government,retail,top_manager,8,0,0,0,0,1,1,0,repair,453784,301777,27.6,42349,0.407,real_estate,0,1,1,0,mass,118,1.0
single,58,0,49914,salary,36320,0.53,104261,0,1,0,27,0,1,0,5425,3,goods,1,0,1,government,IT,manager,18,0,0,1,791330,0,0,0,refinancing,502565,329153,14.1,24156,0.484,none,0,0,0,0,mass,72,1.0
married,34,0,87380,pension,44991,0.49,70591,1,1,2,0,4,0,0,2818,8,goods,0,0,0,self_employed,medicine,specialist,7,0,0,0,0,1,2,1,repair,403887,367358,25.4,21058,0.241,none,0,1,0,0,mass,223,1.0
married,79,1,93866,business,50226,0.6,191764,0,0,0,21,0,0,0,4747,9,restaurants,1,0,1,private,education,manager,8,0,0,1,1393956,1,1,0,emergency,112238,77238,18.8,8245,0.088,guarantor,0,0,0,0,mass_premium,214,0.0
single,48,0,97712,self_employed,43935,0.11,90249,1,0,1,17,7,0,0,1705,10,goods,1,1,0,self_employed,manufacturing,manager,9,1,507699,0,0,0,0,0,emergency,139598,136493,14.3,6015,0.062,car,0,1,1,0,mass,129,0.0
married,20,0,44370,salary,26942,0.25,76831,0,2,3,19,0,0,0,1326,6,goods,1,0,0,government,IT,specialist,24,0,0,1,696485,1,0,0,repair,339890,258032,21.3,9241,0.208,none,0,1,1,0,premium,218,0.0
single,55,1,30762,salary,18127,0.23,65402,1,0,0,2,0,1,1,8038,14,utilities,1,0,1,private,medicine,specialist,15,0,0,1,1594133,1,0,0,refinancing,225748,172467,28.8,10457,0.34,none,0,1,0,0,premium,92,2.0
married,89,1,35533,business,16803,0.17,55807,0,1,2,0,27,0,0,1850,14,restaurants,1,0,1,private,IT,manager,5,0,0,0,0,0,0,0,repair,30000,21218,30.5,10019,0.282,none,0,0,0,0,private,141,0.0
married,55,0,97684,salary,79838,0.66,140702,1,1,0,5,8,0,0,12142,12,goods,1,0,1,private,finance,manager,17,0,0,0,0,0,1,0,refinancing,102005,94811,23.8,35679,0.365,none,0,0,1,0,mass,190,0.0
single,108,1,93358,salary,77141,0.18,223788,0,0,2,5,23,1,0,2004,3,travel,1,0,0,private,finance,specialist,7,0,0,0,0,0,1,0,repair,158777,141868,24.0,8090,0.087,none,0,1,0,0,mass,239,0.0
married,75,1,36499,pension,16589,0.26,31015,1,1,1,13,0,1,0,5319,8,restaurants,0,1,0,private,finance,specialist,15,0,0,1,1130684,0,0,0,repair,167131,119876,15.8,7892,0.216,none,1,1,0,0,private,39,0.0
single,73,1,144642,salary,77120,0.3,141771,1,1,0,5,43,1,0,5293,5,restaurants,1,0,1,self_employed,education,specialist,28,0,0,0,0,0,0,0,refinancing,158474,100938,26.9,8028,0.056,none,0,1,1,0,mass_premium,190,0.0
married,61,1,32327,salary,24828,0.47,73691,0,0,2,2,14,0,0,4457,13,goods,1,0,0,private,manufacturing,specialist,6,0,0,0,0,1,0,1,refinancing,440593,337559,13.6,3000,0.093,real_estate,0,1,0,0,mass,213,1.0
married,63,0,104981,business,87657,0.56,242149,1,1,1,46,16,1,0,939,9,utilities,1,1,0,self_employed,finance,manager,23,0,0,0,0,1,1,0,refinancing,612936,414053,14.6,8222,0.078,real_estate,0,1,0,0,mass,204,1.0
single,58,1,123188,salary,53689,0.46,176607,0,1,1,15,24,0,0,1617,4,travel,1,0,0,private,education,manager,7,0,0,1,335846,1,0,0,emergency,41347,26302,23.4,7516,0.061,none,0,1,0,0,mass,8,0.0
single,57,0,73841,salary,62852,0.55,126883,1,2,4,5,28,0,0,1015,30,restaurants,1,0,0,private,retail,specialist,3,0,0,1,1651992,1,1,0,refinancing,398019,302833,20.8,25322,0.343,real_estate,0,0,1,0,mass,68,1.0
single,78,2,43059,pension,18550,0.34,46481,0,2,3,13,12,1,0,3442,5,utilities,1,0,0,individual_entrepreneur,construction,specialist,12,0,0,0,0,1,4,0,emergency,120628,96224,30.4,31755,0.737,guarantor,0,0,1,0,mass,170,0.0
married,41,1,43824,self_employed,31417,0.7,100938,1,1,1,12,9,2,0,3791,10,restaurants,1,0,1,government,education,manager,15,0,0,1,1398029,1,1,0,car,30000,19132,25.0,3000,0.068,none,0,1,1,0,mass_premium,191,0.0
single,38,2,60826,salary,25001,0.2,97163,0,0,1,24,1,2,0,3039,4,travel,1,0,1,self_employed,medicine,specialist,18,0,0,0,0,1,1,0,refinancing,504307,418889,18.0,48572,0.799,none,0,0,1,0,mass,39,1.0
married,36,0,107830,self_employed,93179,0.34,189667,1,2,3,20,1,0,0,2264,2,goods,1,0,0,individual_entrepreneur,finance,specialist,0,1,146828,1,642187,1,1,0,emergency,412389,324368,27.3,50642,0.47,none,1,1,0,0,mass_premium,204,1.0
married,116,1,28004,salary,16153,0.6,28023,0,2,1,3,3,0,0,1434,4,goods,1,0,0,individual_entrepreneur,retail,manager,22,0,0,1,2016647,0,1,0,car,359669,229175,14.7,5768,0.206,car,1,1,1,0,mass,28,0.0
divorced,78,0,20000,salary,14488,0.25,36903,1,0,0,10,5,0,0,3405,8,goods,1,0,1,private,finance,specialist,17,1,415515,1,651639,1,1,0,repair,219743,171625,23.0,25947,1.297,none,0,1,0,0,mass,24,0.0
married,72,0,82671,salary,40699,0.55,163928,0,0,1,6,45,0,0,3492,4,restaurants,1,0,1,individual_entrepreneur,medicine,manager,9,1,231646,0,0,1,3,0,refinancing,207982,167071,23.8,3136,0.038,real_estate,1,0,0,0,mass,158,0.0
widowed,38,2,90356,salary,50656,0.32,117555,1,0,2,3,10,1,0,2408,1,goods,0,1,1,private,IT,specialist,1,1,384753,1,1071705,1,1,0,car,336775,291470,25.7,7222,0.08,none,0,1,1,0,mass,149,0.0
married,80,1,138878,self_employed,107442,0.21,322676,0,0,0,26,10,0,0,3268,13,travel,1,0,0,private,retail,manager,6,1,242844,0,0,1,2,0,emergency,280780,243780,27.2,31159,0.224,car,0,1,0,0,mass,222,0.0
married,62,2,21618,salary,19164,0.34,24788,0,0,1,0,7,1,0,5426,11,restaurants,0,0,1,private,medicine,specialist,18,0,0,1,951150,1,0,0,repair,301016,181473,25.2,19404,0.898,none,0,0,0,0,mass_premium,148,0.0
married,70,0,65281,salary,58493,0.57,151814,1,1,2,3,1,0,0,7091,9,restaurants,1,0,0,private,IT,specialist,27,0,0,1,1438569,1,3,1,repair,161352,136771,20.6,36590,0.56,real_estate,0,1,0,0,mass,157,0.0
divorced,40,0,110664,salary,89066,0.17,220850,1,1,2,27,7,1,0,2773,10,utilities,1,1,0,government,IT,specialist,11,0,0,1,639116,0,1,0,car,300099,182418,25.8,7381,0.067,none,0,1,0,0,mass_premium,119,0.0
single,69,0,74230,salary,61135,0.41,164229,1,0,2,18,3,0,0,6595,3,travel,1,0,0,private,retail,specialist,22,0,0,1,674145,1,0,0,car,1105758,879354,28.9,11860,0.16,car,0,0,0,0,mass,145,1.0
single,54,1,63159,pension,55876,0.54,125588,0,1,0,8,8,0,0,5557,0,restaurants,1,1,1,private,finance,specialist,14,0,0,0,0,1,2,0,car,437263,425114,12.0,34136,0.54,car,1,1,0,0,mass,127,1.0
